career_seq,career_major_name,career_major_category,updated_at,general_selection_subjects,career_selection_subjects,convergence_selection_subjects,source_text,source_url,collected_at
199,방송영상과,사회계열,2020-12-02,문학|독서와 작문|화법과 언어|사회와 문화|정보,정치|법과 사회|경제|윤리와 사상|인간과 심리,소프트웨어와 생활|사회문제 탐구|윤리문제 탐구,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 정보미디어학과",https://www.career.go.kr/cloud/w/major/uView?seq=199,2026-06-02T12:18:16+00:00
21011,방송영상미디어과,예체능계열,2020-12-02,독서와 작문|정보,문학과 영상|인공지능 기초|데이터 과학,매체 의사소통|소프트웨어와 생활,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 영상학과",https://www.career.go.kr/cloud/w/major/uView?seq=21011,2026-06-02T12:18:16+00:00
200,방송제작과,사회계열,2020-12-02,문학|독서와 작문|화법과 언어|사회와 문화|정보,정치|법과 사회|경제|윤리와 사상|인간과 심리,소프트웨어와 생활|사회문제 탐구|윤리문제 탐구,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 정보미디어학과",https://www.career.go.kr/cloud/w/major/uView?seq=200,2026-06-02T12:18:16+00:00
202,법률과,사회계열,2020-12-02,화법과 언어|독서와 작문|문학|확률과 통계|영어 I|영어프|영어 독해와 작문|세계시민과 지리|사회와 문화|현대사회와 윤리|정보|제2외국어 과목|한문,주제 탐구 독서|영어 발표와 토론|정치|법과 사회|경제|윤리와 사상|국제 관계의 이해,독서 토론과 글쓰기|매체 의사소통|실용 통계|수학과제 탐구|사회문제 탐구|기후변화와 지속가능한 세계,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 법학과",https://www.career.go.kr/cloud/w/major/uView?seq=202,2026-06-02T12:18:17+00:00
210,보건관리학과,의약계열,2020-12-02,화법과 언어|독서와 작문|문학|확률과 통계|영어 Ⅰ|영어프|영어 독해와 작문|세계시민과 지리|사회와 문화|현대사회와 윤리|생명과학|정보|제2외국어 과목|한문,주제 탐구 독서|영어 발표와 토론|정치|법과 사회|경제|윤리와 사상|국제 관계의 이해|생물의 유전,독서 토론과 글쓰기|실용 통계|수학과제 탐구|사회문제 탐구|기후변화와 지속가능한 세계|융합과학 탐구|보건,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 보건행정학과",https://www.career.go.kr/cloud/w/major/uView?seq=210,2026-06-02T12:18:17+00:00
213,보건행정과,의약계열,2020-12-02,화법과 언어|독서와 작문|문학|확률과 통계|영어 Ⅰ|영어프|영어 독해와 작문|세계시민과 지리|사회와 문화|현대사회와 윤리|생명과학|정보|제2외국어 과목|한문,주제 탐구 독서|영어 발표와 토론|정치|법과 사회|경제|윤리와 사상|국제 관계의 이해|생물의 유전,독서 토론과 글쓰기|실용 통계|수학과제 탐구|사회문제 탐구|기후변화와 지속가능한 세계|융합과학 탐구|보건,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 보건행정학과",https://www.career.go.kr/cloud/w/major/uView?seq=213,2026-06-02T12:18:18+00:00
215,보건환경과,의약계열,2020-12-02,화법과 언어|독서와 작문|문학|확률과 통계|영어 Ⅰ|영어프|영어 독해와 작문|세계시민과 지리|사회와 문화|현대사회와 윤리|생명과학|정보|제2외국어 과목|한문,주제 탐구 독서|영어 발표와 토론|정치|법과 사회|경제|윤리와 사상|국제 관계의 이해|생물의 유전,독서 토론과 글쓰기|실용 통계|수학과제 탐구|사회문제 탐구|기후변화와 지속가능한 세계|융합과학 탐구|보건,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 보건행정학과",https://www.career.go.kr/cloud/w/major/uView?seq=215,2026-06-02T12:18:18+00:00
216,보석감정과,예체능계열,2020-12-02,화법과 언어|독서와 작문|문학|영어 I|영어Ⅱ|영어 독해와 작문|세계사|미술,주제 탐구 독서|문학과 영상|미술 창작|미술 감상과 비평|인간과 철학|인간과 심리,매체 의사소통|미디어 영어|세계 문화와 영어|여행지리|미술과 매체,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 공예과(조형학과)",https://www.career.go.kr/cloud/w/major/uView?seq=216,2026-06-02T12:18:18+00:00
223,북한학과,인문계열,2020-12-02,세계시민과 지리|세계사|사회와 문화|제2외국어 과목,동아시아 역사 기행|정치|법과 사회|경제|국제 관계의 이해,기후변화와 지속가능한 세계|세계 문화와 영어,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 국제학과",https://www.career.go.kr/cloud/w/major/uView?seq=223,2026-06-02T12:18:19+00:00
224,불교학과,인문계열,2020-12-02,독서와 작문|세계시민과 지리|세계사|사회와 문화|현대사회와 윤리|정보,주제 탐구 독서|영미 문학 읽기|한국지리 탐구|동아시아 역사 기행|법과 사회|윤리와 사상|인문학과 윤리|미술 감상과 비평|삶과 종교|인간과 심리,세계 문화와 영어|여행지리|역사로 탐구하는 현대 세계|사회문제 탐구|윤리문제 탐구|과학의 역사와 문화|미술과 매체|지식 재산 일반,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 인류학과",https://www.career.go.kr/cloud/w/major/uView?seq=224,2026-06-02T12:18:19+00:00
225,불어교육과,교육계열,2020-12-02,화법과 언어|독서와 작문|문학|대수|미적분Ⅰ|확률과 통계|영어Ⅰ|영어Ⅱ|영어 독해와 작문|세계시민과 지리|세계사|사회와 문화|현대사회와 윤리|제2외국어 과목,주제 탐구 독서|영어 발표와 토론|심화 영어|심화 영어 독해와 직문|동아시아 역사 기행|정치|윤리와 사상|제2외국어 회화 과목|심화 제2외국어 과목,독서 토론과 글쓰기|언어생활 탐구|실생활 영어 회화|미디어 영어|세계 문화와 영어|사회문제 탐구|제2외국어 문화 과목,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 언어교과교육과",https://www.career.go.kr/cloud/w/major/uView?seq=225,2026-06-02T12:18:20+00:00
10040,뷰티미용학과,예체능계열,2020-12-02,독서와 작문|문학|대수|확률과 통계|영어Ⅰ|영어Ⅱ|영어 독해오작문|미술|정보,주제 탐구 독서|문학과 영상|미술 창작|미술 감상과 비평|인간과 심리,매체 의사소통|미디어 영어|세계 문화와 영어|여행지리|사회문제 탐구|미술과 매체,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 디자인과",https://www.career.go.kr/cloud/w/major/uView?seq=10040,2026-06-02T12:18:20+00:00
227,비서행정과,사회계열,2020-12-02,현대사회와 윤리|세계시민과 지리|세계사|사회와 문화|제 2외국어 과목,직무 영어|한국지리 탐구,세계 문화와 영어|여행지리|사회문제 탐구,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 항공서비스학과",https://www.career.go.kr/cloud/w/major/uView?seq=227,2026-06-02T12:18:20+00:00
10119,사이버국방학과,공학계열,2020-12-02,대수|확률과 통계|미적분 Ⅰ|인공지능 수학|물리학|정보,기하|미적분Ⅱ|인공지능 수학|전자기와 양자|역학과 에너지|로봇과 공학세계|인공지능 기초|데이터 과학,수학과 문화|실용 통계|수학과제 탐구|창의 공학 설계|소프트웨어와 생활,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 정보보안학과",https://www.career.go.kr/cloud/w/major/uView?seq=10119,2026-06-02T12:18:21+00:00
232,사진과,예체능계열,2020-12-02,미술|화학,미술 창작|화학 반응의 세계,미술과 매체,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 사진학과",https://www.career.go.kr/cloud/w/major/uView?seq=232,2026-06-02T12:18:21+00:00
234,사진영상학과,예체능계열,2020-12-02,화법과 언어|문학|독서와 작문|영어 독해와 작문|세계시민과 지리|세계사|사회와 문화|현대사회와 윤리|음악|미술|연극|정보|제2외국어,주제 탐구 독서|문학과 영상|영미 문학 읽기|영어 발표와 토론|동아시아 역사 기행|정치|법과 사회|윤리와 사상|인문학과 윤리|미술 감상과 비평|음악 감상과 비평,독서 토론과 글쓰기|메체 의사소통|미디어 영어|세계 문화와 영어|사회문제 탐구|음악과 미디어|미술과 매체|지식 재산 일반|소프트웨어와 생활,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 문화콘텐츠학과",https://www.career.go.kr/cloud/w/major/uView?seq=234,2026-06-02T12:18:22+00:00
236,사학과,인문계열,2020-12-02,독서와 작문|세계사|사회와 문화|한문,동아시아 역사 기행|정치|법과 사회|국제 관계의 이해|미술 감상과 비평,언어생활 탐구|역사로 탐구하는 현대 세계|사회문제 탐구|미술과 매체|지식 재산 일반|언어 생활과 한자,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 사학과",https://www.career.go.kr/cloud/w/major/uView?seq=236,2026-06-02T12:18:22+00:00
21012,사회교육과,교육계열,2020-12-02,화법과 언어|독서와 작문|문학|대수|미적분Ⅰ|확률과 통계|영어Ⅰ|영어Ⅱ|영어 독해와 작문|세계시민과 지리|세계사|사회와 문화|현대사회와 윤리|제2외국어 과목,주제 탐구 독서|영어 발표와 토론|한국지리 탐구|동아시아 역사기행|정치|법과 사회|경제|윤리와 사상|국제 관계의 이해,독서 토론과 글쓰기|미디어 영어|여행지리|역사로 탐구하는 현대세계|사회문제 탐구|금융과 경제생활|윤리문제 탐구,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 사회교과교육과",https://www.career.go.kr/cloud/w/major/uView?seq=21012,2026-06-02T12:18:22+00:00
239,사회복지과,사회계열,2020-12-02,현대사회와 윤리|사회와 문화,윤리와 사상|정치|법과 사회|경제|한국지리탐구|도시의 미래 탐구|국제 관계의 이해|생활과학 탐구|인간과 심리,사회문제 탐구|윤리문제 탐구,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 사회복지학과",https://www.career.go.kr/cloud/w/major/uView?seq=239,2026-06-02T12:18:23+00:00
257,사회복지상담과,사회계열,2020-12-02,현대사회와 윤리|사회와 문화,윤리와 사상|정치|법과 사회|경제|한국지리탐구|도시의 미래 탐구|국제 관계의 이해|생활과학 탐구|인간과 심리,사회문제 탐구|윤리문제 탐구,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 사회복지학과",https://www.career.go.kr/cloud/w/major/uView?seq=257,2026-06-02T12:18:23+00:00
241,사회체육과,예체능계열,2020-12-02,독서와 작문|문학|대수|미적분I|확률과 통계|영어 Ⅰ|영어 독해와 작문|사회와 문화|현대사회와 윤리|물리학|생명과학|정보,경제|역학과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전|데이터 과학,매체 의사소통|실생활 영어 회화|실용 통계,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 체육학과",https://www.career.go.kr/cloud/w/major/uView?seq=241,2026-06-02T12:18:24+00:00
242,사회체육학과,예체능계열,2020-12-02,독서와 작문|문학|대수|미적분I|확률과 통계|영어 Ⅰ|영어 독해와 작문|사회와 문화|현대사회와 윤리|물리학|생명과학|정보,경제|역학과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전|데이터 과학,매체 의사소통|실생활 영어 회화|실용 통계,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 체육학과",https://www.career.go.kr/cloud/w/major/uView?seq=242,2026-06-02T12:18:24+00:00
252,산업디자인과,예체능계열,2020-12-02,독서와 작문|문학|대수|확률과 통계|영어Ⅰ|영어Ⅱ|영어 독해오작문|미술|정보,주제 탐구 독서|문학과 영상|미술 창작|미술 감상과 비평|인간과 심리,매체 의사소통|미디어 영어|세계 문화와 영어|여행지리|사회문제 탐구|미술과 매체,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 디자인과",https://www.career.go.kr/cloud/w/major/uView?seq=252,2026-06-02T12:18:25+00:00
10050,산업설비자동화과,공학계열,2020-12-02,대수|미적분 Ⅰ|확률과 통계|물리학|화학|지구과학|정보|기술|가정,기하|미적분Ⅱ|역학과 에너지|전자기와 양자|물질과 에너지|화학 반응의 세계|인공지능 기초|데이터 과학|로봇과 공학세계,창의 공학 설계|소프트웨어와 생활,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 제어계측공학과",https://www.career.go.kr/cloud/w/major/uView?seq=10050,2026-06-02T12:18:25+00:00
255,산업안전과,의약계열,2020-12-02,화법과 언어|독서와 작문|문학|확률과 통계|영어 Ⅰ|영어프|영어 독해와 작문|세계시민과 지리|사회와 문화|현대사회와 윤리|생명과학|정보|제2외국어 과목|한문,주제 탐구 독서|영어 발표와 토론|정치|법과 사회|경제|윤리와 사상|국제 관계의 이해|생물의 유전,독서 토론과 글쓰기|실용 통계|수학과제 탐구|사회문제 탐구|기후변화와 지속가능한 세계|융합과학 탐구|보건,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 보건행정학과",https://www.career.go.kr/cloud/w/major/uView?seq=255,2026-06-02T12:18:25+00:00
10051,산업잠수과,예체능계열,2020-12-02,독서와 작문|문학|대수|미적분I|확률과 통계|영어 Ⅰ|영어 독해와 작문|사회와 문화|현대사회와 윤리|물리학|생명과학|정보,경제|역학과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전|데이터 과학,매체 의사소통|실생활 영어 회화|실용 통계,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 체육학과",https://www.career.go.kr/cloud/w/major/uView?seq=10051,2026-06-02T12:18:26+00:00
260,생명공학과,자연계열,2020-12-02,대수|미적분 Ⅰ|확률과 통계|물리학|화학|생명과학|정보,기하|미적분Ⅱ|물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전,융합과학 탐구|기후변화와 지속가능한 세계,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 생명공학과",https://www.career.go.kr/cloud/w/major/uView?seq=260,2026-06-02T12:18:26+00:00
261,생명과학과,자연계열,2020-12-02,대수|미적분 Ⅰ|확률과 통계|물리학|화학|생명과학|정보,기하|미적분Ⅱ|물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전,융합과학 탐구|기후변화와 지속가능한 세계,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 생명공학과",https://www.career.go.kr/cloud/w/major/uView?seq=261,2026-06-02T12:18:27+00:00
263,생물교육과,교육계열,2020-12-02,화법과 언어|독서와 작문|문학|대수|미적분Ⅰ|확률과 통계|영어Ⅰ|영어Ⅱ|영어 독해와 작문|물리학|화학|생명과학|지구과학|기술|가정|정보|생태와 환경,주제 탐구 독서|기하|미적분Ⅱ|역학과 에너지|전자기와 양자|물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전|지구시스템과학,기후변화와 환경생태|융합과학 탐구,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 과학교과교육과",https://www.career.go.kr/cloud/w/major/uView?seq=263,2026-06-02T12:18:27+00:00
10048,생물산업기계공학과,자연계열,2020-12-02,대수|확률과 통계|미적분 Ⅰ|물리학|화학|생명과학|지구과학|정보,기하|미적분Ⅱ|인공지능 수학|역학과 에너지|전자기와 양자|물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전|지구시스템과학|행성우주과학|로봇과 공학세계|생활과학 탐구|인공지능 기초|데이터 과학,실용 통계|수학과제 탐구|융합과학 탐구|사회문제 탐구|창의 공학 설계|소프트웨어와 생활,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 융합학과",https://www.career.go.kr/cloud/w/major/uView?seq=10048,2026-06-02T12:18:28+00:00
265,생물학과,자연계열,2020-12-02,대수|미적분 Ⅰ|확률과 통계|물리학|화학|생명과학|정보,기하|미적분Ⅱ|물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전,융합과학 탐구|기후변화와 지속가능한 세계,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 생명공학과",https://www.career.go.kr/cloud/w/major/uView?seq=265,2026-06-02T12:18:28+00:00
